Epoch, NumTrainingWords, LAS
0, 1179, 6.944210526315789
1, 2703, 30.070900781617052
2, 4228, 29.73251140266297
3, 5751, 34.92920276153203
4, 7270, 36.99909611328714
5, 8803, 33.621598340681636
6, 10336, 32.93213356960394
7, 11852, 36.493245454120505
8, 13357, 29.757608850481933
9, 14869, 35.55448408871745
10, 16407, 34.134356159011816
11, 17924, 36.6822080382966
12, 19439, 36.891345410291194
13, 20943, 39.900474422442244
14, 22459, 37.90963713168735
15, 23995, 37.39182692307692
16, 25523, 37.04751669818123
17, 27055, 36.205701292218954
18, 28580, 38.7174269402521
19, 30105, 38.67106476146578
20, 31624, 43.930024529604445
21, 33146, 36.36717988696161
22, 34665, 38.2604970008569
23, 36179, 33.650074236149095
24, 37696, 41.77354517611026
25, 39209, 38.449872806731456
26, 40729, 38.75016668889185
27, 42247, 37.90703624733475
28, 43762, 33.67142084038895
29, 45262, 39.441931966465866
30, 46770, 44.22699869899034
31, 48296, 44.822401804172145
32, 49799, 43.496028992212196
33, 51300, 45.89327054354063
34, 52801, 44.10300184948072
35, 54323, 39.863325740318906
36, 55830, 45.31239918270782
37, 57337, 44.09264015587636
38, 58841, 37.393328161365396
39, 60351, 44.06249264723183
40, 61854, 42.355171073094866
41, 63366, 38.1038556276077
42, 64883, 43.88816644993498
43, 66383, 44.885582598851784
44, 67888, 45.47538508847949
45, 69396, 43.576278071142575
46, 70915, 40.97974706468263
47, 72420, 37.344659430549
48, 73927, 42.47258879915961
49, 75429, 41.048364935421816
50, 76950, 47.959735902153916
51, 78460, 41.21952144401047
52, 79975, 48.8991008991009
53, 81477, 45.42037920695917
54, 82977, 46.885201914046775
55, 84493, 42.99990482535453
56, 86009, 48.25238772607194
57, 87516, 42.20673129288748
58, 89028, 44.4790503614033
59, 90533, 47.30523627075351
60, 92052, 37.82028904559101
61, 93554, 42.10890100606712
62, 95058, 48.451138113982545
63, 96565, 43.56473882398378
64, 98080, 42.51968503937008
65, 99585, 45.1591942820013
66, 101091, 46.56416692814559
67, 102592, 43.71186774257036
68, 104101, 44.40288538605397
69, 105602, 46.00326264274062
70, 107107, 53.624454148471614
71, 108451, NaN
