Epoch, NumTrainingWords, LAS
0, 1179, 3.216842105263158
1, 2716, 27.227484861753368
2, 4246, 29.398820621775137
3, 5792, 32.22864058975629
4, 7301, 35.49954211431507
5, 8807, 35.35327196045531
6, 10309, 36.94383367677023
7, 11850, 35.53473465043104
8, 13350, 36.946550371937164
9, 14852, 37.76186623842355
10, 16364, 40.032647650841966
11, 17885, 36.14481897627965
12, 19411, 37.20764874679398
13, 20941, 37.49144134251424
14, 22461, 35.372637725377764
15, 23966, 36.05918585966791
16, 25483, 35.752581820166164
17, 26995, 35.06260683463735
18, 28507, 39.05785404808427
19, 30012, 39.66920678905438
20, 31542, 35.25878819996467
21, 33072, 40.31758908719428
22, 34602, 36.71882190520019
23, 36125, 36.37531328320802
24, 37643, 40.37535399433609
25, 39165, 38.54430690235966
26, 40669, 37.22365296498211
27, 42187, 39.097487127730545
28, 43706, 37.83144768643385
29, 45217, 34.92026476761081
30, 46717, 39.95112450389534
31, 48217, 37.11464536066933
32, 49729, 43.12735712213519
33, 51237, 39.902719872940246
34, 52745, 39.39585542955046
35, 54257, 35.85593895434154
36, 55769, 37.49137038315499
37, 57288, 42.641828205584204
38, 58800, 31.983963344788087
39, 60320, 35.58692773363602
40, 61828, 38.38694707017415
41, 63336, 37.173819688281505
42, 64836, 33.50496602195504
43, 66336, 40.49940418156213
44, 67836, 38.54064229720997
45, 69347, 38.275570089637654
46, 70859, 43.263359358386246
47, 72360, 43.04038004750594
48, 73878, 40.54939599536654
49, 75396, 34.807758919293384
50, 76901, 44.727668845315904
51, 78419, 42.29330483242995
52, 79919, 39.601849989945705
53, 81431, 36.82017264106816
54, 82943, 42.29537767756482
55, 84448, 39.27560566082993
56, 85948, 34.44900051255766
57, 87459, 39.6411272567151
58, 88960, 35.58879392212726
59, 90470, 38.960118549062564
60, 91982, 39.83068783068783
61, 93491, 36.57911097295617
62, 95004, 38.974536636064435
63, 96508, 40.209209111350084
64, 98016, 41.893105771390076
65, 99525, 42.173282342080974
66, 101037, 43.644203129990416
67, 102544, 30.753687613659324
68, 104050, 38.96495071193866
69, 105550, 40.21922428330523
70, 107055, 38.613861386138616
71, 108451, NaN
