Epoch, NumTrainingWords, LAS
0, 1179, 45.36099664133775
1, 2685, 61.87561039517877
2, 4189, 66.8516709940211
3, 5713, 69.51478049593864
4, 7220, 72.76386936947667
5, 8773, 74.073985850742
6, 10276, 75.59610299897572
7, 11787, 76.8252304613992
8, 13317, 77.61844644005622
9, 14822, 77.86855958647959
10, 16330, 78.67844977489817
11, 17833, 78.86424811224126
12, 19341, 79.42878921416832
13, 20847, 80.34587075105405
14, 22364, 80.0790833948691
15, 23869, 80.37445511064529
16, 25416, 80.46020818941902
17, 26927, 81.13432266977918
18, 28430, 80.93661418260642
19, 29951, 81.85131368952621
20, 31463, 81.77747076058216
21, 32974, 82.24911269383769
22, 34502, 81.72506610133155
23, 36017, 82.09189871608585
24, 37530, 82.50637193015888
