Epoch, NumTrainingWords, LAS
0, 1179, 42.81222457778519
1, 2688, 61.406350491889185
2, 4205, 69.90066935042043
3, 5719, 72.72337486005574
4, 7219, 74.32409899716538
5, 8741, 76.40122912746243
6, 10244, 77.29210833472285
7, 11755, 78.76896691360378
8, 13270, 78.83804578261595
9, 14787, 79.40973297444081
10, 16295, 80.08146542483505
11, 17819, 79.92663347704914
12, 19343, 80.87229937352612
13, 20856, 81.60120054310283
14, 22363, 81.11050237011982
15, 23893, 81.85131368952621
16, 25415, 82.11095495581334
17, 26929, 82.22291036421238
18, 28435, 82.24196660393987
19, 29946, 82.00614563731212
20, 31459, 82.50398990019295
21, 32982, 82.80888973583288
22, 34485, 82.87558657487911
23, 35993, 83.23050903980372
24, 37496, 82.66358590791071
