Epoch, NumTrainingWords, LAS
0, 1179, 31.616683737881424
1, 2703, 52.09261332507563
2, 4215, 61.20864200471642
3, 5730, 63.747885948405234
4, 7238, 65.13660941854648
5, 8763, 64.16950525237607
6, 10268, 68.42857483147138
7, 11772, 68.60722707891665
8, 13282, 68.3332936328339
9, 14782, 68.33805769276577
10, 16288, 69.52669064576833
11, 17795, 69.00264405326219
12, 19307, 71.44422476834758
13, 20829, 71.80629332317001
14, 22336, 70.14125437698006
15, 23838, 72.08260879921869
16, 25354, 71.84202377265906
17, 26862, 71.06309997379768
18, 28389, 72.03258616993402
19, 29899, 69.66961244372455
20, 31405, 70.84871727686334
21, 32912, 72.38989066482456
22, 34424, 72.41847502441581
23, 35972, 72.43276720421143
24, 37475, 71.79438317334032
25, 38998, 71.84440580262499
26, 40519, 72.70908268026012
27, 42050, 71.45851694814321
28, 43557, 69.879231080727
29, 45059, 71.15838117243516
30, 46574, 71.61096686596318
31, 48089, 72.75195921964698
32, 49591, 72.62094757152045
33, 51114, 73.20692694314094
34, 52622, 71.44422476834758
35, 54132, 73.14023010409471
36, 55661, 71.87775422214811
37, 57176, 72.10642909887807
38, 58687, 72.13263142850337
39, 60200, 72.72813891998761
40, 61721, 72.18027202782211
41, 63231, 71.42278649865415
42, 64764, 71.97779948071747
43, 66280, 72.38274457492675
44, 67796, 73.44036587980277
45, 69312, 71.91110264167123
46, 70866, 72.675734260737
47, 72371, 72.411328934518
48, 73877, 72.93775755699006
49, 75380, 72.60903742169077
50, 76880, 73.37366904075654
51, 78405, 72.46373359376861
52, 79914, 72.28508134632334
53, 81419, 73.45465805959839
54, 82955, 73.89056954336486
55, 84465, 74.43129034563255
56, 85992, 73.34270265119935
57, 87498, 71.89204640194373
58, 89012, 72.39703675472238
59, 90520, 74.3574474166885
60, 92026, 73.1140277744694
61, 93544, 73.35699483099498
62, 95054, 71.84440580262499
63, 96562, 73.3260284414378
64, 98087, 73.6738048164646
65, 99606, 73.98585074200234
66, 101112, 73.0616231152188
67, 102648, 73.40939949024559
68, 104154, 72.88058883780758
69, 105667, 73.94773826254735
70, 107206, 72.46849765370048
71, 108451, 73.09973559467377
