Epoch, NumTrainingWords, LAS
0, 1179, 31.392772921083345
1, 2694, 51.24461065720207
2, 4195, 58.831376098711324
3, 5709, 62.38774683785522
4, 7223, 62.783163812200755
5, 8728, 65.47962173364141
6, 10249, 66.77782806507706
7, 11763, 66.82070460446393
8, 13277, 67.8235392201234
9, 14782, 69.28610561920868
10, 16321, 69.19797051046902
11, 17845, 71.07024606369548
12, 19356, 69.84826469116982
13, 20878, 69.73869131273672
14, 22389, 69.2289369000262
15, 23889, 72.08022676925276
16, 25409, 71.46804506800696
17, 26925, 71.5609442366785
18, 28435, 72.26602510659585
19, 29946, 72.12072127867368
20, 31464, 72.8496224482504
21, 33001, 72.80674590886353
22, 34508, 71.31797718015292
23, 36018, 71.75150663395345
24, 37531, 73.4999166289512
25, 39056, 71.91110264167123
26, 40579, 73.57852361782712
27, 42117, 71.7872370834425
28, 43627, 73.03780281555942
29, 45140, 71.09406636335486
30, 46663, 73.58328767775899
31, 48179, 73.76908601510208
32, 49685, 70.37945737357376
33, 51196, 73.25218551249375
34, 52696, 73.14261213406064
35, 54203, 71.83487768276125
36, 55728, 73.08306138491223
37, 57228, 72.25887901669803
38, 58743, 72.33272194564208
39, 60277, 71.6062028060313
40, 61787, 74.0096710416617
41, 63297, 72.39465472475644
42, 64800, 73.21883709297063
43, 66333, 73.07115123508254
44, 67849, 73.65474857673709
45, 69388, 73.22121912293656
46, 70912, 72.36368833519926
47, 72414, 73.61425406731617
48, 73918, 73.54755722826994
49, 75421, 72.62571163145232
50, 76948, 72.75434124961292
51, 78458, 72.12072127867368
52, 79979, 74.24549200828946
53, 81489, 72.89249898763727
54, 82991, 74.05731164098044
55, 84504, 73.4427479097687
56, 86033, 72.79245372906792
57, 87569, 73.55232128820181
58, 89070, 73.94297420261547
59, 90617, 73.01160048593411
60, 92118, 72.9853981563088
61, 93627, 73.14023010409471
62, 95133, 73.24027536266406
63, 96637, 74.2288177985279
64, 98158, 73.35937686096091
65, 99678, 74.14306471975418
66, 101185, 72.53757652271265
67, 102685, 72.82580214859102
68, 104214, 73.36175889092685
69, 105737, 73.52850098854243
70, 107244, 72.43514923417736
71, 108451, 73.59043376765679
