Epoch, NumTrainingWords, LAS
0, 1179, 45.26571544270027
1, 2680, 62.11857745170434
2, 4180, 68.31185536314047
3, 5698, 72.24220480693647
4, 7224, 74.04063743121888
5, 8748, 75.66279983802197
6, 10254, 76.21066673018747
7, 11768, 77.5017269717253
8, 13276, 78.65939353517068
9, 14800, 79.5955313117839
10, 16322, 80.05764512517567
11, 17826, 80.30061218170124
12, 19339, 80.79131035468426
13, 20852, 80.88659155332174
14, 22356, 81.51782949429504
15, 23862, 81.43922250541912
16, 25362, 81.52259355422692
17, 26887, 82.00376360734619
18, 28395, 81.49877325456754
19, 29920, 81.74412234105905
