Epoch, NumTrainingWords, LAS
0, 1179, 44.16521759843739
1, 2683, 63.7455039184393
2, 4190, 69.66961244372455
3, 5706, 71.23460613134513
4, 7229, 74.35268335675663
5, 8745, 75.86050832519473
6, 10247, 76.6251399442605
7, 11748, 77.92572830566209
8, 13255, 78.65224744527286
9, 14766, 79.16676591791524
10, 16279, 79.50739620304424
11, 17781, 80.33872466115623
12, 19294, 81.065243800767
13, 20800, 81.26295228793978
14, 22307, 81.12955860984731
15, 23807, 81.6440770824897
16, 25319, 82.04425811676711
17, 26832, 82.00852766727806
18, 28373, 82.04902217669898
19, 29892, 82.76839522641195
