Epoch, NumTrainingWords, LAS
0, 1179, 43.95083490150306
1, 2716, 58.04768823991806
2, 4246, 63.45251423262905
3, 5792, 66.07512922512565
4, 7301, 69.99595054905791
5, 8807, 71.76818084371502
6, 10309, 72.24935089683429
7, 11850, 73.84054691408018
8, 13350, 75.16495557514114
9, 14852, 76.24877920964246
10, 16364, 77.2373216455063
11, 17885, 77.47790667206594
12, 19411, 78.86186608227531
13, 20941, 78.97858555060623
14, 22461, 79.72177889997856
15, 23966, 79.0738667492437
16, 25483, 79.44546342392988
17, 26995, 80.00524046592506
18, 28507, 80.31966842142874
19, 30012, 80.70317524594459
